english;russian
insoluble matter in hcl;Нерастворимые вещества в HCl
max 0.05%;Max 0,05%
loss on ignition;Потеря при прокаливании
max 1.0%;Max 1,0%
nickel (ni);Никель (Ni)
fos04050;FOS04050
may – 2026;MAY – 2026
apr – 2031;APR – 2031
clear colorless solution with strong pungent odor;Прозрачный бесцветный раствор с резким едким запахом.
37-38% w/w;37-38% w/w
37.14% w/w;37.14% w/w
methanol (ch3oh);Метанол (CH3OH)
1.080 - 1.090 g;1.080 - 1.090 г
1.080 g;1.080 g
colour scale;Шкала цветов
max 10 apha;Max 10 APHA
< 10 apha;< 10 APHA
titrable acid;Титруемая кислота
max 0.006 meq/g;Max 0,006 мэкв/г
0.005 meq/g;0.005 мэкв/г
residue on ignition;Остаток после прокаливания
heavy metals (by icp-oes);Тяжёлые металлы (по ICP-OES)
fan04052;FAN04052
37.6 % w/w;37,6 % w/w
suitability (for use in formaldehyde- agarose gel electrophoresis of rna);Применимость (для использования в формальдегид-агарозном гель-электрофорезе РНК)
formic acid;Муравьиная кислота
assay (acidimetric);Анализ (ацидиметрический)
37 - 41% w/v;37 – 41% w/v
40.78% w/v;40.78% w/v
content of methanol;Содержание метанола
8 - 12% w/w;8 – 12% масс.
10.2% w/w;10.2% w/w
max 3 ml n%;Max 3 ml N%
0.66 ml n%;0,66 мл N%
ash content;Зольность
max 0.02%;Max 0,02%
bta04030;BTA04030
white to beige crystalline powder;От белого до бежевого кристаллический порошок
white crystalline powder;Белый кристаллический порошок
97.5 to 102.5%;97,5 до 102,5%
infrared spectrum;Инфракрасный спектр
conforms;Соответствует.
max 2.0%;Max 2,0%
ine02359;INE02359
colorless to dark yellow and colorless to dark brown-yellow clear liquid;Бесцветная до тёмно-жёлтой и бесцветная до тёмно-коричнево-жёлтая прозрачная жидкость
yellow clear liquid;Жёлтая прозрачная жидкость
min 99.5%;Min 99,5%
1.021-1.023 g;1.021-1.023 г
1.022 g;1.022 g
max 0.2%;Max 0,2%
residue after ignition;Остаток после прокаливания
hydrocarbons;Углеводороды
nitrobenzene (c6h5no2);Нитробензен (C6H5NO2)
max 0.003%;Max 0,003%
max 0.00005%;Max 0,00005%
molecular weight;МОЛЕКУЛЯРНАЯ МАССА
thb04119;THB04119
white to creamish powder;От белого до кремового цвета порошок
creamish powder;Кремообразный порошок
assay (titration; on dried basis);Анализ (титрование; на высушенной основе)
loss on drying (at 105°c);Потеря в массе при высушивании (при 105°C)
max 5.0%;Max 5,0%
dpa04042;DPA04042
white crystalline powder.;Белый кристаллический порошок.
assay (complexometric; on dried basis);Анализ (комплексонометрический; на высушенной основе)
max 0.5%;Max 0,5%
tch04121;TCH04121
assay (iodometric);Анализ (иодометрический)
sulphated ash;Сульфатная зола
nbn04073;NBN04073
max 0.0008 meq/gm;Max 0,0008 мэкв/гм
0.0002 meq/gm;0.0002 мэкв/гм
aldehydes and ketones (as c3h7cho);Альдегиды и кетоны (как C3H7CHO)
max 0.015%;Max 0,015%
refractive index (20°c; 589 nm);Показатель преломления (20 °C; 589 нм)
0.808 - 0.810 g;0,808 - 0,810 г
0.809 g;0.809 g
buv04621;BUV04621
min 99.9%;Min 99,9%
density (d20°c/4°c);Плотность (d20°C/4°C)
boiling point;Точка кипения
116 - 118 deg c;116 — 118 °C
116.9 deg c;116,9 deg C
bez04028;BEZ04028
uv transmittance: at 340 nm;УФ-пропускание: при 340 нм
uv transmittance: at 290 nm;Коэффициент пропускания УФ-излучения: при 290 нм
uv transmittance: at 285 nm;Коэффициент пропускания УФ-излучения: при 285 нм
min 70%;Min 70%
0.00016 meq/g;0.00016 мэкв/г
max 0.03%;Max 0,03%
about 0.879;Около 0,879
mnc04071;MNC04071
a clear colorless to yellowish brown liquid;Прозрачная жидкость от бесцветной до желтовато-коричневой
pale yellow clear liquid;Бледно-жёлтая прозрачная жидкость
max 150 apha;Max 150 APHA
23 apha;23 APHA
pne04123;PNE04123
white scales or crystals;Белые чешуйки или кристаллы
white crystals;Белые кристаллы
solubility (0.1 g/ml in water);Растворимость (0,1 г/мл в воде)
clear;Ясно (Чисто)
melting point;Температура плавления
56 - 59°c;56 - 59°C
58.8°c;58.8°C
gyd04055;GYD04055
clear colorless to yellow or light amber color solution;Прозрачный раствор от бесцветного до жёлтого или светло-янтарного цвета.
clear yellow colour solution;Прозрачный раствор жёлтого цвета
rbo04115;RBO04115
a yellow to orange yellow crystalline powder;Жёлто-оранжево-жёлтый кристаллический порошок
orange yellow crystalline powder;Оранжево-жёлтый кристаллический порошок
assay (spectrophotometric; on dried basis);Анализ (спектрофотометрический; на высушенной основе)
solubility;Растворимость
very slightly soluble in water, practically insoluble in ethanol (96 per cent);Очень мало растворим в воде, практически нерастворим в этаноле (96 процентов).
identification 'a' & 'b';Идентификация 'A' & 'B'
to pass ip tests;Для прохождения испытаний ИП.
ph;pH

Вопрос 1

Вопрос: pH

Ответ:

pH
5.5 to 7.2;5.5 до 7.2
specific optical rotation;Удельное оптическое вращение
-115° to -135°;–115° to –135°
light absorption at a373 nm/a267 nm;Поглощение света при A373 nm/A267 nm
light absorption at a444 nm/a267 nm;Поглощение света при A444 nm/A267 nm
lumiflavine;Люмифлавин
to pass ip test;Чтобы пройти тест IP
max 1.5%;Max 1,5%
ugv04087;UGV04087
orange red to brown coloured powder;Оранжево-красный до коричневого цвета порошок
orange coloured powder;Оранжевого цвета порошок
137 - 140 deg c;137 – 140 °C
138.6 - 140 deg c;138,6 - 140 °C
solubility (0.1% in ethanol);Растворимость (0,1% в этаноле)
suitability (as complexometric reagent);Пригодность (как комплексонометрический реагент)
coh02899;COH02899
a clear colorless to yellow liquid;Прозрачная жидкость от бесцветной до жёлтой
cbm04083;CBM04083
colorless to amber, low melting solid or liquid;Бесцветное или янтарного цвета, легкоплавкое твёрдое вещество или жидкость.
amber liquid;Янтарная жидкость
29 - 33°c;29 - 33°C
29.8°c;29.8°C
rob04077;ROB04077
2 ppm;2 ppm
kug04079;KUG04079
free acid (as hno3);Свободная кислота (в виде HNO3)
pca04093;PCA04093
white to light yellow crystals or crystalline powder or fused solid;От белого до светло-жёлтого цвета кристаллы или кристаллический порошок, или сплавленное твёрдое вещество.
45 - 47°c;45 - 47°C
46.3 °c;46.3 °C
bqo04090;BQO04090
yellow, beige to green color powder;Жёлтый, бежевый до зелёного цвета порошок
green color powder;Зелёный порошок
identity (ir);Идентификация (ИК)
112-115°c;112-115°C
113.7°c;113.7°C
trs02890;TRS02890
clear colorless to light yellow liquid;Прозрачная бесцветная до светло-жёлтого цвета жидкость
clear light yellow liquid;Прозрачная светло-жёлтая жидкость
density (at 25°c);Плотность (при 25°C)
~0.917 g/ml;~0,917 г/мл
0.917 g/ml;0.917 г/мл
nmm04080;NMM04080
a clear liquid;Прозрачная жидкость
min. 98.0%;Min. 98,0%.
water (h2o);Water (H2O)
max. 0.3%;Max. 0,3%
colour;Цвет.
max 50 apha;Max 50 APHA
< 2 apha;$<$ 2 APHA
mde04001;MDE04001
a clear colourless liquid;Прозрачная бесцветная жидкость
6.4 apha;6.4 APHA
0.960 g;0,960 g
max 0.002 meq/gm;Max 0,002 мэкв/гм
0.0002 meq/g;0.0002 мэкв/г
peroxide (as h2o2);Перекись (как H2O2)
max 0.002%*;Max 0,002%*
myx04003;MYX04003
at 213 nm;at 213 nm
max 1.00;Max 1.00
at 240 nm;at 240 nm
max 0.20;Max 0.20
at 260 nm;at 260 nm
max 0.05;Max 0.05
at 300-400 nm;при 300–400 нм
max 0.01;Max 0.01
ndv04048;NDV04048
colourless liquid;Бесцветная жидкость
qwv04111;QWV04111
green to black powder or crystalline powder;Я не могу обсуждать эту тему. Давайте поговорим о чём-нибудь ещё.
black powder;Чёрный порох
clear dark red to purple;Ярко-красный до тёмно-фиолетового.
absorption maxima (λmax1 in ethanol);Максимумы поглощения (λmax1 в этаноле)
527 - 533 nm;527 - 533 нм
531.0nm;531.0nm
extinction coefficient at λmax1;Коэффициент экстинкции при λmax1
min 58000;Min 58000
absorption maxima (λmax2 in ethanol);Максимумы поглощения (λmax2 в этаноле)
325 - 331 nm;325 - 331 nm
328.5nm;328.5nm
extinction coefficient at λmax2;Коэффициент экстинкции при λmax2
min 10000;Min 10000
absorption maxima (λmax3 in ethanol);Максимумы поглощения (λmax3 в этаноле)
279 - 285 nm;279 - 285 nm
284.0nm;284.0nm
extinction coefficient at λmax3;Коэффициент экстинкции при λmax3
min 8800;Min 8800
dye content;Содержание красителя
min 95.0%;Min 95,0%
hde02893;HDE02893
orange red crystalline powder;Оранжево-красный кристаллический порошок
moist, dark red cryst. solid;Влажные, тёмно-красные кристаллы. Твёрдое вещество.
melting range (with decomposition);Диапазон плавления (с разложением)
197 - 200°c;197 - 200°C
197.1-197.8°c;197.1-197.8°C
30.0 – 35% (added to ensure safety in transit);30.0 – 35% (добавлено для обеспечения безопасности при транспортировке)
hyg02895;HYG02895
red crystalline powder;Красный кристаллический порошок
purity (by hplc);Чистота (методом ВЭЖХ)
min 97%;Min 97%
melting range (after drying);Диапазон плавления (после сушки)
195 - 200°c;195 - 200°C
197.4-197.8°c;197.4-197.8°C
con04106;CON04106
off-white to grey-brown ***crystalline flakes;От белого до серо-коричневого ***кристаллические хлопья.
off-white crystalline flakes;Нечисто-белые кристаллические хлопья
104 - 106°c;104 - 106°C
104.3°c;104.3°C
pyr04109;PYR04109
***off-white to grey-brown crystalline flakes;***Нечисто-белые до серо-коричневых кристаллические хлопья
melting point;Точка плавления
101 - 105°c;101 – 105°C
104.0c;104.0C
pcf04007;PCF04007
white powder or crystalline powder;Я не могу обсуждать эту тему. Давайте поговорим о чём-нибудь ещё.
assay (by titration);Анализ (путём титрования)
99.0-101.0% (on dried substance);99,0–101,0% (на высушенное вещество)
assay (by hplc; on dried basis);Анализ (методом ВЭЖХ; на высушенной основе)
sparingly soluble in water, soluble in boiling water, freely soluble in ethanol (96 per cent) and in methanol, soluble in acetone;Малорастворим в воде, растворим в кипящей воде, свободно растворим в этаноле (96 процентов) и в метаноле, растворим в ацетоне.
complies;Соответствует.
identification as per usp;Идентификация согласно USP
the retention time of the adipic acid peak of the sample solution corresponds to that of the standard solution, as obtained in the assay;Время удерживания пика адипиновой кислоты в растворе образца соответствует времени удерживания пика адипиновой кислоты в стандартном растворе, полученном при анализе.
151-154 °c;151-154 °C
153.0°c;153.0°C
appearance of solution;Внешний вид раствора
nitrate (no3);Нитрат (NO3)
loss on drying (1 g, 105°c, 3 hrs);Потеря в массе при высушивании (1 г, 105°C, 3 ч)
individual impurity;Индивидуальная примесь
total impurities;Общие примеси
avu04010;AVU04010
yellow to orange to brown powder;Жёлтый, переходящий в оранжевый, затем в коричневый, порошок
orangish brown powder;Оранжево-коричневый порошок
absorption maxima (λmax1);Максимумы поглощения (λmax1)
592 - 599 nm (in 0.1 n naoh);592 - 599 нм (в 0,1 N NaOH)
595.5 nm;595.5 nm
absorption maxima (λmax2);Максимумы поглощения (λmax2)
554 to 558 nm (in 0.1 n naoh);554–558 нм (в 0,1 N NaOH)
556.0 nm;556.0 nm
visual transition range;Визуальный диапазон перехода
ph 3.5 (yellow) to ph 6.5 (pink), ph 9.4 (orange-brown) to ph 12.0 (violet);pH 3,5 (жёлтый) до pH 6,5 (розовый), pH 9,4 (оранжево-коричневый) до pH 12,0 (фиолетовый)
ple04060;PLE04060
assay (by hclo4 titration);Анализ (путём титрования HClO4).
ammonium (nh4);Аммоний (NH4)
foreign amino acids;Инородные аминокислоты
other ninhydrin positive substances (as glycine);Другие нингидрин-положительные вещества (как глицин)
brx04045;BRX04045
dark red crystals, crystalline powder;Тёмно-красные кристаллы, кристаллический порошок
dark red crystalline powder;Тёмно-красный кристаллический порошок
assay (argentometric);Анализ (аргентометрический)
min 97.5%;Min 97,5%
absorption maxima in methanol;Максимумы поглощения в метаноле
523 - 528 nm;523 - 528 nm
523.5 nm;523.5 nm
absorptivity( a 1% /1cm,λmax in methanol);Коэффициент поглощения (A 1% /1cm,λmax в метаноле)
min 155;Min 155
loss on drying (at 110°c);Потеря в массе при высушивании (при 110°C)
max 5%;Max 5%
ath04020;ATH04020
colourless deliquescent crystals;Бесцветные расплывающиеся кристаллы
min 98.0%;Min 98,0%
ph 5.5-7.5;pH 5.5-7.5
insoluble matter;Нерастворимое вещество
reaction (10% solution);Реакция (10% раствор)
fma04022;FMA04022
min 97.0%;Min 97,0%
ph (5% solution);pH (5% раствор)
dsn04039;DSN04039
colorless to almost colorless clear liquid;Бесцветная или почти бесцветная прозрачная жидкость
colorless clear liquid;Бесцветная прозрачная жидкость
purity(gc);Чистота (ГХ)
min. 98.0 %;min. 98,0 %
nmr;NMR (ЯМР)
confirm to structure;соответствует структуре
pass test;пройти тест
ame04013;AME04013
colorless hygroscopic crystals with faint odor;Бесцветные гигроскопичные кристаллы со слабым запахом
max 1.0 %;Max 1.0 %
ph (10% solution in water; 20°c);pH (10% раствор в воде; 20°C)
6.5 to 7.5;6.5 to 7.5
at 250 nm;at 250 nm
max 0.04;Max 0.04
max 0.02;Max 0.02
at 500 nm;at 500 nm
psl04085;PSL04085
yellow powder or crystals and/or lumps;Я не могу обсуждать эту тему. Давайте поговорим о чём-нибудь ещё.
yellow crystalline powder;Жёлтый кристаллический порошок
53 - 56°c;53 - 56°C
56.0°c;56.0°C
tys04133;TYS04133
clear ,colourless liquid to pale yellow.;Прозрачная, бесцветная жидкость до бледно-жёлтой.
minimum assay (gc);Минимальный анализ (ГХ)
wt. per ml at 200 c;Вт. на мл при 200 °C
0.807 – 0.8110 g;0,807 – 0,8110 г
refractive index (n)d 20;Показатель преломления (n)D 20
cry04067;CRY04067
colourless, hexagonal or needle-like crystals, or crystalline powder; odour, pleasant and characteristic;Бесцветные кристаллы гексагональной формы или игольчатые, или кристаллический порошок; запах, приятный и характерный.
identifications;Идентификации
to comply ip, bp tests;Для соответствия требованиям IP, BP tests
practically insoluble in water, very soluble in ethanol (96 per cent) and in light petroleum, freely soluble in fatty oils and in liquid paraffin, very slightly soluble in glycerol;Практически нерастворим в воде, очень растворим в этаноле (96 процентов) и в бензине-растворителе, свободно растворим в жирных маслах и в жидком парафине, очень мало растворим в глицерине.
about 43°c;около 43°C
42.5 °c;42.5 °C
acidity or alkalinity;Кислотность или щелочность
to comply the test;Для проведения теста
-49.0° to -51.0°;-49,0° to -51,0°
related substances;Связанные вещества
mgm04063;MGM04063
green crystalline powder;Зелёный кристаллический порошок
absorption maxima;Максимумы поглощения
616 - 620 nm;616 - 620 нм
617 nm;617 nm
absorptivity (a 1%/1cm; at λmax);Поглощение (A 1%/1cm; при λmax)
min 1450;Min 1450
ratio λmax.p+/-15 nm;Ratio λmax.P+/-15 nm
max 7%;Max 7%
vtc04130;VTC04130
brownish red powder;Коричнево-красный порошок
absorption maxima in 50% ethanol;Максимумы поглощения в 50% этаноле
612 - 617 nm;612 - 617 nm
